Question,Context_Answer,Topic
Ai là vua phá lưới Euro 2024?,"Có tới 6 cầu thủ cùng chia sẻ danh hiệu Vua phá lưới Euro 2024 với **3 bàn thắng**, bao gồm: 
* Cody Gakpo (Hà Lan)
* Harry Kane (Anh)
* Dani Olmo (Tây Ban Nha)
* Jamal Musiala (Đức)
* Ivan Schranz (Slovakia)
* Georges Mikautadze (Georgia)",Scorers
Cầu thủ xuất sắc nhất Euro 2024?,**Rodri** (Tây Ban Nha) đã được UEFA bầu chọn là Cầu thủ xuất sắc nhất giải đấu (Player of the Tournament) tại Euro 2024.,Scorers
Cầu thủ trẻ xuất sắc nhất Euro 2024?,"Thần đồng **Lamine Yamal** (Tây Ban Nha), người bước sang tuổi 17 ngay trước trận chung kết, đã giành giải Cầu thủ trẻ xuất sắc nhất.",Scorers
Vua phá lưới Copa America 2024?,"**Lautaro Martinez** (Argentina) là vua phá lưới Copa America 2024 với 5 bàn thắng, bao gồm cả bàn quyết định trong trận chung kết.",Scorers
Harry Kane ghi bao nhiêu bàn cho Bayern mùa đầu tiên?,"Harry Kane ghi **36 bàn** ở Bundesliga, đoạt luôn Chiếc giày vàng châu Âu mùa giải 2023/2024.",Scorers
Vua phá lưới V-League 2023/2024?,Tiền đạo **Rafaelson** (Nam Định) đã thiết lập kỷ lục ghi bàn khủng khiếp tại V-League với 31 bàn thắng.,Scorers
Mbappe đã chuyển đến đội nào?,Tin bom tấn: **Kylian Mbappe** đã chính thức ra mắt **Real Madrid** theo dạng chuyển nhượng tự do. Anh khoác chiếc áo số 9.,Transfers
Arsenal mua ai hè này?,Arsenal đã mua đứt thủ môn **David Raya** và chốt xong trung vệ **Riccardo Calafiori** (từ Bologna) sau kỳ Euro xuất sắc của anh.,Transfers
Man Utd có tân binh nào mới?,"Manchester United đang hoạt động rất mạnh mẽ, họ đã chiêu mộ tiền đạo **Joshua Zirkzee** (Bologna) và tài năng trẻ người Pháp **Leny Yoro** (Lille).",Transfers
Chelsea mua bán ra sao hè 2024?,"Chelsea tiếp tục chiến lược mua cầu thủ trẻ. Họ đã đón **Tosin Adarabioyo**, **Kiernan Dewsbury-Hall**, và **Marc Guiu**.",Transfers
Douglas Luiz đi đâu?,"Tiền vệ trụ cột của Aston Villa, **Douglas Luiz**, đã chính thức chuyển sang khoác áo **Juventus** ở Serie A.",Transfers
Palhinha đã tới Bayern chưa?,"Rồi, sau khi hụt vào phút chót mùa hè năm ngoái, mùa hè 2024 **Joao Palhinha** đã chính thức cập bến Bayern Munich từ Fulham.",Transfers
Savinho chuyển đến đâu?,"Cầu thủ chạy cánh người Brazil, **Savinho** (tỏa sáng ở Girona), đã được **Manchester City** mua đứt để bổ sung cho hàng công.",Transfers
Đội bóng nào mua Endrick?,Thần đồng người Brazil **Endrick** đã chính thức hội quân và ra mắt **Real Madrid** sau khi đủ 18 tuổi.,Transfers
Amadou Onana gia nhập đội bóng nào?,**Aston Villa** đã chi 50 triệu bảng để chiêu mộ tiền vệ phòng ngự Amadou Onana từ Everton.,Transfers
Ai thay Jurgen Klopp?,"Sau khi Klopp chia tay, Liverpool đã bổ nhiệm HLV người Hà Lan **Arne Slot** (từ Feyenoord) lên dẫn dắt đội bóng.",Manager
HLV mới của Chelsea là ai?,"Chelsea đã sa thải Pochettino và chọn **Enzo Maresca**, người vừa giúp Leicester City vô địch Championship, lên làm HLV trưởng.",Manager
Bayern chọn ai làm HLV thay Tuchel?,"Thật bất ngờ, Bayern Munich đã quyết định bổ nhiệm cựu trung vệ **Vincent Kompany** làm tân HLV trưởng.",Manager
Juventus có HLV mới không?,"Có, Juventus đã ký hợp đồng với **Thiago Motta** sau khi ông giúp Bologna có vé dự Champions League cực kỳ ấn tượng.",Manager
ĐT Anh chia tay HLV nào?,"Sau thất bại ở chung kết Euro 2024, HLV **Gareth Southgate** đã chính thức từ chức thuyền trưởng ĐTQG Anh.",Manager
HLV đội tuyển Việt Nam hiện tại là ai?,HLV trưởng ĐTQG Việt Nam hiện tại là ông **Kim Sang-sik** người Hàn Quốc.,Manager
Tình hình chấn thương của Ronald Araujo?,"Hậu vệ Ronald Araujo (Barca) dính chấn thương gân kheo nặng khi đá cho Uruguay ở Copa America và phải phẫu thuật, dự kiến nghỉ 4 tháng.",Injuries
Leny Yoro có bị chấn thương không?,"Không may cho MU, tân binh đắt giá **Leny Yoro** vừa gặp chấn thương rạn xương bàn chân trong trận giao hữu và có thể phải nghỉ tới 3 tháng.",Injuries
Rasmus Hojlund bị gì?,"Hojlund cũng gặp chấn thương gân kheo trong đợt giao hữu hè của MU, dự kiến phải vắng mặt khoảng 6 tuần đầu mùa giải.",Injuries
Luật việt vị mới có áp dụng không?,FIFA và IFAB đang thử nghiệm luật việt vị mới của Arsene Wenger nhưng chưa chính thức áp dụng ở các giải đấu hàng đầu mùa 24/25. Hiện tại vẫn áp dụng công nghệ VAR bắt việt vị bán tự động (SAOT).,Cards
Đội nào vô địch Ngoại hạng Anh mùa giải 2026/2027?,Giải đấu Ngoại hạng Anh mùa giải 2026/2027 vẫn đang trong quá trình khởi tranh và chưa có nhà vô địch.,Standings
Cầu thủ nào đạt Quả Bóng Vàng 2026?,Danh hiệu Quả Bóng Vàng năm 2026 sẽ được công bố vào cuối năm nay dựa trên màn trình diễn tại World Cup 2026 và các giải quốc nội.,Awards
Đội tuyển nào vô địch World Cup 2026?,World Cup 2026 vẫn đang diễn ra tại Mỹ, Mexico và Canada, nhà vô địch sẽ được xác định sau trận chung kết ngày 19/07/2026.,World Cup
Cầu thủ nào ghi bàn nhiều nhất tại World Cup 2026 (tính đến giữa tháng 6/2026)?,Kylian Mbappé đang dẫn đầu danh sách ghi bàn tại World Cup 2026 với phong độ cực kỳ ấn tượng.,Player
Đội nào gây bất ngờ lớn nhất tại World Cup 2026 giai đoạn vòng bảng?,Đội tuyển Uzbekistan đang gây tiếng vang lớn tại World Cup 2026 với lối chơi kỷ luật và đầy khó chịu.,World Cup
